LOGNAME,1823514,0007/0001.csv
MSG,2331107,Gyroscope not ready
GYRS,2331111,100000000
ACC,2334599,77104,-214720,982832
MSG,2334641,Gyroscope not ready
GYRS,2334645,100000000
ACC,2338173,77104,-214720,977952
MSG,2338214,Gyroscope not ready
GYRS,2338233,100000000
ACC,2341709,80032,-214720,992592
MSG,2341750,Gyroscope not ready
GYRS,2341755,100000000
ACC,2345243,72712,-220576,979904
MSG,2345285,Gyroscope not ready
GYRS,2345290,100000000
ACC,2348783,80032,-218624,986736
MSG,2348824,Gyroscope not ready
GYRS,2348829,100000000
ACC,2352365,82960,-221552,982832
MSG,2352407,Gyroscope not ready
GYRS,2352412,100000000
ACC,2355905,78080,-221552,976976
MSG,2355946,Gyroscope not ready
GYRS,2355951,100000000
ACC,2359444,76128,-224480,978928
MSG,2359500,Gyroscope not ready
GYRS,2359504,100000000
ACC,2362979,81008,-218624,986248
MSG,2363021,Gyroscope not ready
GYRS,2363026,100000000
ACC,2366518,77104,-218624,978928
MSG,2366560,Gyroscope not ready
GYRS,2366565,100000000
ACC,2370100,74664,-217648,978928
MSG,2370142,Gyroscope not ready
GYRS,2370147,100000000
ACC,2373639,76616,-221552,986248
MSG,2373681,Gyroscope not ready
GYRS,2373686,100000000
ACC,2377178,75152,-214720,983320
MSG,2377220,Gyroscope not ready
GYRS,2377225,100000000
ACC,2380715,73200,-220576,984296
MSG,2380757,Gyroscope not ready
GYRS,2380762,100000000
ACC,2384297,75640,-221552,976976
MSG,2384339,Gyroscope not ready
GYRS,2384344,100000000
ACC,2387836,80032,-222528,982344
MSG,2387877,Gyroscope not ready
GYRS,2387882,100000000
ACC,2391371,76128,-221552,984296
MSG,2391413,Gyroscope not ready
GYRS,2391417,100000000
ACC,2394910,76128,-215696,981856
MSG,2394952,Gyroscope not ready
GYRS,2394957,100000000
ACC,2398449,75152,-220576,978928
MSG,2398491,Gyroscope not ready
GYRS,2398509,100000000
ACC,2402032,80032,-219600,984296
MSG,2402074,Gyroscope not ready
GYRS,2402079,100000000
ACC,2405568,79056,-220576,986248
MSG,2405610,Gyroscope not ready
GYRS,2405614,100000000
ACC,2409107,75152,-219600,978928
MSG,2409148,Gyroscope not ready
GYRS,2409153,100000000
ACC,2412645,75152,-222528,975024
MSG,2412687,Gyroscope not ready
GYRS,2412692,100000000
ACC,2416222,81008,-219600,979416
MSG,2416263,Gyroscope not ready
GYRS,2416268,100000000
ACC,2419761,78080,-217648,984784
MSG,2419816,Gyroscope not ready
GYRS,2419821,100000000
ACC,2423295,80032,-218624,983320
MSG,2423337,Gyroscope not ready
GYRS,2423342,100000000
ACC,2426830,81008,-222528,988688
MSG,2426872,Gyroscope not ready
GYRS,2426877,100000000
ACC,2430369,77104,-218624,977952
MSG,2430410,Gyroscope not ready
GYRS,2430415,100000000
ACC,2433945,80032,-218624,982832
MSG,2433987,Gyroscope not ready
GYRS,2433992,100000000
ACC,2437484,77104,-217648,977952
MSG,2437526,Gyroscope not ready
GYRS,2437544,100000000
ACC,2441024,82960,-224480,978928
MSG,2441065,Gyroscope not ready
GYRS,2441070,100000000
ACC,2444559,79056,-213744,987224
MSG,2444600,Gyroscope not ready
GYRS,2444605,100000000
ACC,2448140,79056,-220576,977952
MSG,2448181,Gyroscope not ready
GYRS,2448186,100000000
ACC,2451678,82960,-220576,979416
MSG,2451720,Gyroscope not ready
GYRS,2451725,100000000
ACC,2455216,80032,-219600,978928
MSG,2455258,Gyroscope not ready
GYRS,2455263,100000000
ACC,2458754,77104,-217648,989176
MSG,2458810,Gyroscope not ready
GYRS,2458815,100000000
ACC,2462289,81008,-213744,981368
MSG,2462331,Gyroscope not ready
GYRS,2462336,100000000
ACC,2465870,83936,-218624,979904
MSG,2465912,Gyroscope not ready
GYRS,2465917,100000000
ACC,2469409,80032,-213256,979904
MSG,2469451,Gyroscope not ready
GYRS,2469455,100000000
ACC,2472947,82960,-213256,981368
MSG,2472989,Gyroscope not ready
GYRS,2472994,100000000
ACC,2476486,77104,-221552,987712
MSG,2476528,Gyroscope not ready
GYRS,2476533,100000000
ACC,2480066,72712,-221552,985272
MSG,2480108,Gyroscope not ready
GYRS,2480112,100000000
ACC,2483604,72712,-216672,988688
MSG,2483645,Gyroscope not ready
GYRS,2483650,100000000
