LOGNAME,1823514,0007/0001.csv
ACC,4280950,-42456,-251808,970144
MSG,4280991,Gyroscope not ready
GYRS,4280996,100000000
ACC,4284535,-114192,-276696,968192
MSG,4284578,Gyroscope not ready
GYRS,4284582,100000000
ACC,4288078,-39040,-309880,997472
MSG,4288120,Gyroscope not ready
GYRS,4288125,100000000
ACC,4291624,-16104,-350384,912072
MSG,4291666,Gyroscope not ready
GYRS,4291685,100000000
ACC,4295169,-62464,-371368,1016016
MSG,4295211,Gyroscope not ready
GYRS,4295216,100000000
ACC,4298715,-37088,-354288,938424
MSG,4298757,Gyroscope not ready
GYRS,4298762,100000000
ACC,4302301,-76616,-325984,974048
MSG,4302342,Gyroscope not ready
GYRS,4302347,100000000
ACC,4305847,-38064,-333304,962824
MSG,4305889,Gyroscope not ready
GYRS,4305894,100000000
ACC,4309388,-88816,-294752,987712
MSG,4309430,Gyroscope not ready
GYRS,4309435,100000000
ACC,4312935,-75640,-325496,987224
MSG,4312990,Gyroscope not ready
GYRS,4312995,100000000
ACC,4316519,-64904,-327448,965752
MSG,4316560,Gyroscope not ready
GYRS,4316565,100000000
ACC,4320061,-63928,-335256,932568
MSG,4320103,Gyroscope not ready
GYRS,4320108,100000000
ACC,4323608,-83936,-316224,944280
MSG,4323649,Gyroscope not ready
GYRS,4323654,100000000
ACC,4327154,-49288,-371856,954528
MSG,4327196,Gyroscope not ready
GYRS,4327200,100000000
ACC,4330700,-64416,-327448,936472
MSG,4330742,Gyroscope not ready
GYRS,4330761,100000000
ACC,4334291,-42944,-352336,967216
MSG,4334333,Gyroscope not ready
GYRS,4334338,100000000
ACC,4337905,-46360,-308416,953552
MSG,4337947,Gyroscope not ready
GYRS,4337952,100000000
ACC,4341446,-49776,-317200,949648
MSG,4341488,Gyroscope not ready
GYRS,4341493,100000000
ACC,4344992,-34160,-326472,970144
MSG,4345034,Gyroscope not ready
GYRS,4345039,100000000
ACC,4348578,-30744,-310368,952576
MSG,4348619,Gyroscope not ready
GYRS,4348624,100000000
ACC,4352191,-17568,-314272,963800
MSG,4352247,Gyroscope not ready
GYRS,4352252,100000000
ACC,4355737,-39040,-295240,959896
MSG,4355779,Gyroscope not ready
GYRS,4355784,100000000
ACC,4359351,-34160,-292800,970144
MSG,4359392,Gyroscope not ready
GYRS,4359397,100000000
ACC,4362893,-33184,-299144,966240
MSG,4362935,Gyroscope not ready
GYRS,4362940,100000000
ACC,4366550,-40016,-296216,961848
MSG,4366592,Gyroscope not ready
GYRS,4366597,100000000
ACC,4370096,-44408,-302560,965264
MSG,4370138,Gyroscope not ready
GYRS,4370143,100000000
ACC,4373644,-44896,-311344,961848
MSG,4373686,Gyroscope not ready
GYRS,4373691,100000000
ACC,4377187,-42944,-307440,960872
MSG,4377229,Gyroscope not ready
GYRS,4377234,100000000
ACC,4380776,-54656,-309392,962824
MSG,4380818,Gyroscope not ready
GYRS,4380823,100000000
ACC,4384319,-52216,-315248,959408
MSG,4384361,Gyroscope not ready
GYRS,4384366,100000000
ACC,4387866,-51728,-315248,960872
MSG,4387907,Gyroscope not ready
GYRS,4387912,100000000
ACC,4391547,-52216,-321104,954528
MSG,4391603,Gyroscope not ready
GYRS,4391608,100000000
ACC,4395228,-59536,-315248,958920
MSG,4395270,Gyroscope not ready
GYRS,4395275,100000000
ACC,4477715,-49288,-322080,950624
MSG,4477757,Gyroscope not ready
GYRS,4477762,100000000
ACC,4481240,-56608,-316224,957456
MSG,4481282,Gyroscope not ready
GYRS,4481286,100000000
ACC,4484768,-47336,-316224,955504
MSG,4484810,Gyroscope not ready
GYRS,4484815,100000000
ACC,4488334,-47336,-317200,957456
MSG,4488376,Gyroscope not ready
GYRS,4488380,100000000
ACC,4491861,-51728,-318176,959896
MSG,4491902,Gyroscope not ready
GYRS,4491907,100000000
ACC,4495388,-55632,-316224,949648
MSG,4495430,Gyroscope not ready
GYRS,4495435,100000000
ACC,4498916,-53192,-310368,961848
MSG,4498958,Gyroscope not ready
GYRS,4498963,100000000
ACC,4502487,-49776,-315248,950624
MSG,4502530,Gyroscope not ready
GYRS,4502534,100000000
ACC,4506016,-55632,-316224,952576
MSG,4506057,Gyroscope not ready
GYRS,4506062,100000000
ACC,4509541,-54656,-319152,959896
MSG,4509583,Gyroscope not ready
GYRS,4509601,100000000
ACC,4513071,-51240,-307928,949648
MSG,4513113,Gyroscope not ready
GYRS,4513117,100000000
ACC,4516599,-35136,-326960,947208
MSG,4516641,Gyroscope not ready
GYRS,4516646,100000000
ACC,4520170,-64904,-310368,964288
MSG,4520212,Gyroscope not ready
GYRS,4520217,100000000
ACC,4523694,-46848,-320128,930128
MSG,4523736,Gyroscope not ready
GYRS,4523740,100000000
ACC,4527222,-60512,-322080,950624
MSG,4527264,Gyroscope not ready
GYRS,4527268,100000000
ACC,4530750,-56608,-331352,947696
MSG,4530806,Gyroscope not ready
GYRS,4530811,100000000
ACC,4534321,-71736,-327936,951600
MSG,4534363,Gyroscope not ready
GYRS,4534368,100000000
ACC,4537850,-48312,-345504,949648
MSG,4537892,Gyroscope not ready
GYRS,4537896,100000000
ACC,4541379,-68320,-332328,939888
MSG,4541420,Gyroscope not ready
GYRS,4541425,100000000
ACC,4544902,-56608,-329888,941840
MSG,4544944,Gyroscope not ready
GYRS,4544949,100000000
ACC,4548430,-45384,-328424,949648
MSG,4548472,Gyroscope not ready
GYRS,4548491,100000000
ACC,4551999,-49288,-329888,962824
MSG,4552040,Gyroscope not ready
GYRS,4552045,100000000
ACC,4555527,-62464,-330864,959408
MSG,4555569,Gyroscope not ready
GYRS,4555574,100000000
ACC,4559051,-57584,-326960,959408
MSG,4559093,Gyroscope not ready
GYRS,4559097,100000000
ACC,4562574,-55632,-323056,957456
MSG,4562617,Gyroscope not ready
GYRS,4562621,100000000
ACC,4566146,-61488,-339648,953552
MSG,4566188,Gyroscope not ready
GYRS,4566193,100000000
ACC,4569675,-62464,-324520,951600
MSG,4569730,Gyroscope not ready
GYRS,4569735,100000000
ACC,4573203,-52216,-341600,946720
MSG,4573245,Gyroscope not ready
GYRS,4573250,100000000
ACC,4576732,-50264,-323056,938424
MSG,4576774,Gyroscope not ready
GYRS,4576779,100000000
ACC,4580261,-49776,-341600,952576
MSG,4580303,Gyroscope not ready
GYRS,4580307,100000000
ACC,4583833,-56608,-362584,946720
MSG,4583874,Gyroscope not ready
GYRS,4583879,100000000
ACC,4587358,-42456,-334280,957944
MSG,4587400,Gyroscope not ready
GYRS,4587418,100000000
ACC,4590888,-102480,-333304,960872
MSG,4590930,Gyroscope not ready
GYRS,4590936,100000000
ACC,4594417,-48312,-317200,928664
MSG,4594459,Gyroscope not ready
GYRS,4594464,100000000
ACC,4597988,-49776,-325008,957456
MSG,4598030,Gyroscope not ready
GYRS,4598035,100000000
ACC,4601517,-41968,-329888,965264
MSG,4601558,Gyroscope not ready
GYRS,4601563,100000000
ACC,4605047,-15128,-343552,990640
MSG,4605089,Gyroscope not ready
GYRS,4605094,100000000
ACC,4608578,-80032,-305976,951600
MSG,4608634,Gyroscope not ready
GYRS,4608638,100000000
ACC,4612112,-59536,-317200,964776
MSG,4612153,Gyroscope not ready
GYRS,4612158,100000000
ACC,4615689,-61488,-326472,972096
MSG,4615731,Gyroscope not ready
GYRS,4615735,100000000
ACC,4619224,-74176,-327936,955992
MSG,4619265,Gyroscope not ready
GYRS,4619270,100000000
ACC,4622758,-40016,-350384,977464
MSG,4622800,Gyroscope not ready
GYRS,4622804,100000000
ACC,4626292,-82960,-332328,955504
MSG,4626334,Gyroscope not ready
GYRS,4626338,100000000
ACC,4629871,-57584,-324520,957456
MSG,4629912,Gyroscope not ready
GYRS,4629917,100000000
ACC,4633405,-76128,-325984,929152
MSG,4633447,Gyroscope not ready
GYRS,4633451,100000000
ACC,4636939,-60512,-336232,947696
MSG,4636981,Gyroscope not ready
GYRS,4636986,100000000
ACC,4640474,-18056,-355264,984296
MSG,4640515,Gyroscope not ready
GYRS,4640520,100000000
ACC,4644005,-37088,-315248,973072
MSG,4644046,Gyroscope not ready
GYRS,4644051,100000000
ACC,4647582,10736,-322080,1020896
MSG,4647624,Gyroscope not ready
GYRS,4647642,100000000
ACC,4651118,65392,-253272,1473760
MSG,4651160,Gyroscope not ready
GYRS,4651164,100000000
ACC,4654652,-198128,-27816,1086288
MSG,4654694,Gyroscope not ready
GYRS,4654699,100000000
ACC,4658184,-256200,-247416,949648
MSG,4658225,Gyroscope not ready
GYRS,4658230,100000000
ACC,4661757,-123952,-373808,758352
MSG,4661799,Gyroscope not ready
GYRS,4661804,100000000
ACC,4665292,-118584,-521184,534848
MSG,4665334,Gyroscope not ready
GYRS,4665339,100000000
ACC,4668828,-173728,-427976,509472
MSG,4668870,Gyroscope not ready
GYRS,4668875,100000000
ACC,4672363,-10736,-386496,868152
MSG,4672405,Gyroscope not ready
GYRS,4672409,100000000
ACC,4675898,-71736,-346480,992592
MSG,4675940,Gyroscope not ready
GYRS,4675944,100000000
ACC,4679475,-80520,-376736,1022848
MSG,4679517,Gyroscope not ready
GYRS,4679522,100000000
ACC,4683009,-113216,-352336,934520
MSG,4683051,Gyroscope not ready
GYRS,4683056,100000000
ACC,4686544,-32696,-398696,953064
MSG,4686585,Gyroscope not ready
GYRS,4686604,100000000
ACC,4690080,-124928,-386984,931592
MSG,4690122,Gyroscope not ready
GYRS,4690127,100000000
ACC,4693658,-76616,-378688,985272
MSG,4693700,Gyroscope not ready
GYRS,4693704,100000000
ACC,4697192,-81008,-337696,965264
MSG,4697234,Gyroscope not ready
GYRS,4697239,100000000
ACC,4700727,-18544,-337208,963800
MSG,4700768,Gyroscope not ready
GYRS,4700773,100000000
ACC,4704257,10736,-317200,991128
MSG,4704299,Gyroscope not ready
GYRS,4704304,100000000
ACC,4707792,-42944,-360632,1000888
MSG,4707847,Gyroscope not ready
GYRS,4707852,100000000
ACC,4711365,-45872,-356728,925248
MSG,4711406,Gyroscope not ready
GYRS,4711411,100000000
ACC,4714899,-100528,-328424,869128
MSG,4714941,Gyroscope not ready
GYRS,4714946,100000000
ACC,4718433,-28792,-346480,894016
MSG,4718475,Gyroscope not ready
GYRS,4718479,100000000
ACC,4721963,-64416,-411872,898896
MSG,4722005,Gyroscope not ready
GYRS,4722010,100000000
ACC,4725541,-6344,-386496,979416
MSG,4725582,Gyroscope not ready
GYRS,4725601,100000000
ACC,4729077,65392,-381616,1097024
MSG,4729119,Gyroscope not ready
GYRS,4729124,100000000
ACC,4732612,77104,-291824,1065792
MSG,4732654,Gyroscope not ready
GYRS,4732659,100000000
ACC,4736141,-121512,-311344,922320
MSG,4736183,Gyroscope not ready
GYRS,4736187,100000000
ACC,4739674,-82960,-298168,879376
MSG,4739716,Gyroscope not ready
GYRS,4739721,100000000
ACC,4743251,-129808,-328424,831064
MSG,4743293,Gyroscope not ready
GYRS,4743298,100000000
ACC,4746786,-487512,-577792,743712
MSG,4746841,Gyroscope not ready
GYRS,4746846,100000000
ACC,4750319,-12688,-401136,890600
MSG,4750361,Gyroscope not ready
GYRS,4750366,100000000
ACC,4753850,12688,-404064,976976
MSG,4753892,Gyroscope not ready
GYRS,4753897,100000000
ACC,4757427,-95160,-374784,978928
MSG,4757469,Gyroscope not ready
GYRS,4757474,100000000
ACC,4760956,-96136,-376736,1003816
MSG,4760998,Gyroscope not ready
GYRS,4761003,100000000
ACC,4764487,-64416,-388936,952576
MSG,4764529,Gyroscope not ready
GYRS,4764548,100000000
ACC,4768023,-58560,-386984,914024
MSG,4768065,Gyroscope not ready
GYRS,4768070,100000000
ACC,4771553,-46360,-334280,961848
MSG,4771594,Gyroscope not ready
GYRS,4771599,100000000
ACC,4775125,-17568,-341600,956480
MSG,4775166,Gyroscope not ready
GYRS,4775171,100000000
ACC,4778658,-41968,-362584,940864
MSG,4778700,Gyroscope not ready
GYRS,4778705,100000000
ACC,4782191,-33672,-359656,942328
MSG,4782233,Gyroscope not ready
GYRS,4782238,100000000
ACC,4785721,-62464,-388936,948672
MSG,4785777,Gyroscope not ready
GYRS,4785782,100000000
ACC,4789295,-53192,-336232,901824
MSG,4789337,Gyroscope not ready
GYRS,4789341,100000000
ACC,4792826,-57584,-342576,967704
MSG,4792868,Gyroscope not ready
GYRS,4792872,100000000
ACC,4796360,-51728,-328424,938424
MSG,4796402,Gyroscope not ready
GYRS,4796406,100000000
ACC,4799894,-62464,-355752,969656
MSG,4799936,Gyroscope not ready
GYRS,4799940,100000000
ACC,4803427,-40992,-374784,986248
MSG,4803469,Gyroscope not ready
GYRS,4803474,100000000
ACC,4807001,-41480,-375760,916952
MSG,4807043,Gyroscope not ready
GYRS,4807048,100000000
ACC,4810532,-34160,-357704,941840
MSG,4810573,Gyroscope not ready
GYRS,4810578,100000000
ACC,4814066,-26352,-348432,917440
MSG,4814107,Gyroscope not ready
GYRS,4814112,100000000
ACC,4817594,-43432,-344528,950624
MSG,4817636,Gyroscope not ready
GYRS,4817641,100000000
ACC,4821171,-39040,-338672,947696
MSG,4821213,Gyroscope not ready
GYRS,4821218,100000000
ACC,4824702,-50264,-346480,937936
MSG,4824758,Gyroscope not ready
GYRS,4824763,100000000
ACC,4828238,-49288,-366488,951600
MSG,4828280,Gyroscope not ready
GYRS,4828285,100000000
ACC,4831772,-43920,-370880,946720
MSG,4831814,Gyroscope not ready
GYRS,4831819,100000000
ACC,4835303,-24888,-378688,948672
MSG,4835344,Gyroscope not ready
GYRS,4835349,100000000
ACC,4838880,-46360,-368440,959896
MSG,4838922,Gyroscope not ready
GYRS,4838927,100000000
ACC,4842414,-39040,-369904,936472
MSG,4842456,Gyroscope not ready
GYRS,4842461,100000000
ACC,4845950,-37088,-362584,947696
MSG,4845992,Gyroscope not ready
GYRS,4845997,100000000
ACC,4849484,-37088,-346480,938424
MSG,4849526,Gyroscope not ready
GYRS,4849531,100000000
ACC,4853061,-33184,-360632,939400
MSG,4853103,Gyroscope not ready
GYRS,4853108,100000000
ACC,4856596,-41968,-372832,941840
MSG,4856637,Gyroscope not ready
GYRS,4856642,100000000
ACC,4860129,-40016,-374784,927200
MSG,4860171,Gyroscope not ready
GYRS,4860176,100000000
ACC,4863663,-40016,-370880,939888
MSG,4863705,Gyroscope not ready
GYRS,4863724,100000000
ACC,4867199,-48312,-361120,945744
MSG,4867241,Gyroscope not ready
GYRS,4867246,100000000
ACC,4870776,-45384,-382592,927200
MSG,4870818,Gyroscope not ready
GYRS,4870823,100000000
ACC,4874310,-48800,-387472,931104
MSG,4874352,Gyroscope not ready
GYRS,4874357,100000000
ACC,4877841,-44896,-375760,932568
MSG,4877882,Gyroscope not ready
GYRS,4877887,100000000
ACC,4881371,-42944,-372832,932080
MSG,4881413,Gyroscope not ready
GYRS,4881418,100000000
ACC,4884949,-50752,-375760,932568
MSG,4885004,Gyroscope not ready
GYRS,4885009,100000000
ACC,4888483,-42944,-373808,931104
MSG,4888524,Gyroscope not ready
GYRS,4888529,100000000
ACC,4892017,-44896,-373808,920368
MSG,4892059,Gyroscope not ready
GYRS,4892064,100000000
ACC,4895551,-44896,-368928,930128
MSG,4895593,Gyroscope not ready
GYRS,4895598,100000000
ACC,4899085,-44408,-372832,928176
MSG,4899127,Gyroscope not ready
GYRS,4899132,100000000
ACC,4902662,-42944,-370392,930128
MSG,4902704,Gyroscope not ready
GYRS,4902722,100000000
ACC,4906145,-43920,-373808,935496
MSG,4906187,Gyroscope not ready
GYRS,4906192,100000000
ACC,4909625,-40992,-369904,933056
MSG,4909667,Gyroscope not ready
GYRS,4909672,100000000
ACC,4913106,-40016,-371856,939888
MSG,4913147,Gyroscope not ready
GYRS,4913152,100000000
ACC,4916650,-43920,-371856,940864
MSG,4916692,Gyroscope not ready
GYRS,4916697,100000000
ACC,4920131,-40016,-363560,942816
MSG,4920172,Gyroscope not ready
GYRS,4920177,100000000
ACC,4923611,-42944,-370880,939888
MSG,4923668,Gyroscope not ready
GYRS,4923672,100000000
ACC,4929342,-39040,-375760,939400
MSG,4929384,Gyroscope not ready
GYRS,4929388,100000000
ACC,4932927,-39040,-371856,943792
MSG,4932969,Gyroscope not ready
GYRS,4932974,100000000
ACC,4936516,-43920,-377712,939888
MSG,4936558,Gyroscope not ready
GYRS,4936563,100000000
ACC,4940105,-44896,-372832,941840
MSG,4940147,Gyroscope not ready
GYRS,4940152,100000000
ACC,4943694,-43920,-368440,943792
MSG,4943736,Gyroscope not ready
GYRS,4943741,100000000
ACC,4947299,-43920,-363560,944768
MSG,4947341,Gyroscope not ready
GYRS,4947345,100000000
ACC,4950851,-38064,-363560,943792
MSG,4950893,Gyroscope not ready
GYRS,4950897,100000000
ACC,4954400,-39040,-357216,952576
MSG,4954441,Gyroscope not ready
GYRS,4954446,100000000
ACC,4957952,-35136,-362096,947696
MSG,4957993,Gyroscope not ready
GYRS,4957998,100000000
ACC,4961547,-40992,-360632,945256
MSG,4961588,Gyroscope not ready
GYRS,4961593,100000000
ACC,4965099,-42944,-363560,941840
MSG,4965154,Gyroscope not ready
GYRS,4965159,100000000
ACC,4968651,-38064,-363560,945744
MSG,4968692,Gyroscope not ready
GYRS,4968697,100000000
ACC,4972200,-38064,-365512,943792
MSG,4972241,Gyroscope not ready
GYRS,4972246,100000000
ACC,4975752,-45872,-371856,941840
MSG,4975793,Gyroscope not ready
GYRS,4975798,100000000
ACC,4979346,-40016,-368928,939888
MSG,4979388,Gyroscope not ready
GYRS,4979393,100000000
ACC,4982898,-39040,-371856,944768
MSG,4982940,Gyroscope not ready
GYRS,4982945,100000000
ACC,4986452,-45872,-371856,944768
MSG,4986494,Gyroscope not ready
GYRS,4986499,100000000
ACC,4990004,-40992,-370880,937448
MSG,4990046,Gyroscope not ready
GYRS,4990051,100000000
ACC,4993596,-38064,-366000,940376
MSG,4993638,Gyroscope not ready
GYRS,4993643,100000000
ACC,4997143,-40992,-371856,941840
MSG,4997184,Gyroscope not ready
GYRS,4997189,100000000
ACC,5000691,-42944,-369904,939888
MSG,5000733,Gyroscope not ready
GYRS,5000738,100000000
ACC,5004244,-40992,-373808,938912
MSG,5004285,Gyroscope not ready
GYRS,5004304,100000000
ACC,5007795,-42944,-374784,930128
MSG,5007837,Gyroscope not ready
GYRS,5007842,100000000
ACC,5011390,-41968,-373808,941840
MSG,5011432,Gyroscope not ready
GYRS,5011437,100000000
ACC,5014942,-37088,-375760,936472
MSG,5014984,Gyroscope not ready
GYRS,5014989,100000000
ACC,5018494,-45872,-375760,934032
MSG,5018536,Gyroscope not ready
GYRS,5018541,100000000
ACC,5022042,-43920,-374784,935008
MSG,5022084,Gyroscope not ready
GYRS,5022089,100000000
ACC,5025637,-43920,-366976,930616
MSG,5025693,Gyroscope not ready
GYRS,5025698,100000000
ACC,5029189,-43920,-373808,933056
MSG,5029231,Gyroscope not ready
GYRS,5029235,100000000
ACC,5032736,-38064,-367952,935496
MSG,5032778,Gyroscope not ready
GYRS,5032782,100000000
ACC,5036288,-41968,-371856,940864
MSG,5036330,Gyroscope not ready
GYRS,5036335,100000000
ACC,5039835,-42944,-367464,933544
MSG,5039876,Gyroscope not ready
GYRS,5039881,100000000
ACC,5043424,-40016,-367952,937448
MSG,5043466,Gyroscope not ready
GYRS,5043485,100000000
ACC,5046970,-40992,-368928,934032
MSG,5047012,Gyroscope not ready
GYRS,5047017,100000000
ACC,5050522,-38064,-369904,936472
MSG,5050564,Gyroscope not ready
GYRS,5050569,100000000
ACC,5054074,-45872,-372832,940864
MSG,5054116,Gyroscope not ready
GYRS,5054121,100000000
ACC,5057669,-43920,-371856,938912
MSG,5057711,Gyroscope not ready
GYRS,5057716,100000000
ACC,5061221,-40992,-363560,937936
MSG,5061263,Gyroscope not ready
GYRS,5061267,100000000
ACC,5064772,-42944,-371856,936472
MSG,5064828,Gyroscope not ready
GYRS,5064833,100000000
ACC,5068324,-42944,-370880,936472
MSG,5068366,Gyroscope not ready
GYRS,5068370,100000000
ACC,5071875,-41968,-369904,936472
MSG,5071917,Gyroscope not ready
GYRS,5071922,100000000
ACC,5075471,-41968,-367464,944768
MSG,5075512,Gyroscope not ready
GYRS,5075517,100000000
ACC,5079017,-44896,-367952,939888
MSG,5079059,Gyroscope not ready
GYRS,5079064,100000000
ACC,5082564,-41968,-371856,940376
MSG,5082606,Gyroscope not ready
GYRS,5082625,100000000
ACC,5086114,-47824,-370880,943792
MSG,5086156,Gyroscope not ready
GYRS,5086161,100000000
ACC,5089708,-42944,-370880,936472
MSG,5089750,Gyroscope not ready
GYRS,5089755,100000000
ACC,5093260,-43920,-369416,941840
MSG,5093302,Gyroscope not ready
GYRS,5093307,100000000
ACC,5096812,-38064,-374784,938912
MSG,5096854,Gyroscope not ready
GYRS,5096859,100000000
ACC,5100364,-40992,-372832,945744
MSG,5100406,Gyroscope not ready
GYRS,5100411,100000000
ACC,5103910,-38064,-368928,945744
MSG,5103966,Gyroscope not ready
GYRS,5103971,100000000
ACC,5107500,-42944,-373808,951600
MSG,5107542,Gyroscope not ready
GYRS,5107547,100000000
ACC,5111053,-39040,-385520,965264
MSG,5111094,Gyroscope not ready
GYRS,5111099,100000000
ACC,5114605,-45384,-363560,934032
MSG,5114647,Gyroscope not ready
GYRS,5114651,100000000
ACC,5118158,-38064,-375760,929152
MSG,5118199,Gyroscope not ready
GYRS,5118204,100000000
ACC,5121753,-41968,-367952,958432
MSG,5121795,Gyroscope not ready
GYRS,5121800,100000000
ACC,5125311,-32208,-366488,916464
MSG,5125353,Gyroscope not ready
GYRS,5125357,100000000
ACC,5128867,-35136,-367952,926224
MSG,5128909,Gyroscope not ready
GYRS,5128914,100000000
ACC,5132420,-44896,-366976,934032
MSG,5132462,Gyroscope not ready
GYRS,5132467,100000000
ACC,5135976,-43920,-368928,935008
MSG,5136018,Gyroscope not ready
GYRS,5136023,100000000
ACC,5139576,-37088,-371856,949648
MSG,5139617,Gyroscope not ready
GYRS,5139622,100000000
ACC,5143128,-44896,-363072,942816
MSG,5143170,Gyroscope not ready
GYRS,5143189,100000000
ACC,5146685,-41968,-371856,935984
MSG,5146727,Gyroscope not ready
GYRS,5146731,100000000
ACC,5150241,-38064,-374784,946720
MSG,5150283,Gyroscope not ready
GYRS,5150288,100000000
ACC,5153840,-45384,-375760,940864
MSG,5153882,Gyroscope not ready
GYRS,5153888,100000000
ACC,5157397,-45872,-370880,931104
MSG,5157439,Gyroscope not ready
GYRS,5157444,100000000
ACC,5160953,-42944,-369904,936472
MSG,5160995,Gyroscope not ready
GYRS,5161000,100000000
ACC,5164518,-42944,-366000,937448
MSG,5164560,Gyroscope not ready
GYRS,5164565,100000000
ACC,5168057,-37088,-373808,937936
MSG,5168099,Gyroscope not ready
GYRS,5168104,100000000
ACC,5171653,-37088,-372832,936472
MSG,5171695,Gyroscope not ready
GYRS,5171700,100000000
ACC,5175209,-37088,-370880,946720
MSG,5175251,Gyroscope not ready
GYRS,5175256,100000000
ACC,5178766,-33184,-362584,940376
MSG,5178808,Gyroscope not ready
GYRS,5178812,100000000
ACC,5182317,-52216,-367952,943304
MSG,5182359,Gyroscope not ready
GYRS,5182377,100000000
ACC,5185913,-50264,-367952,929152
MSG,5185954,Gyroscope not ready
GYRS,5185959,100000000
ACC,5189469,-43920,-373808,943792
MSG,5189511,Gyroscope not ready
GYRS,5189516,100000000
ACC,5193026,-42944,-371856,950624
MSG,5193067,Gyroscope not ready
GYRS,5193072,100000000
ACC,5196582,-39040,-362584,949648
MSG,5196624,Gyroscope not ready
GYRS,5196629,100000000
ACC,5200138,-38064,-366000,938912
MSG,5200180,Gyroscope not ready
GYRS,5200185,100000000
ACC,5203734,-45872,-362584,940864
MSG,5203790,Gyroscope not ready
GYRS,5203794,100000000
ACC,5207290,-35136,-363560,932080
MSG,5207332,Gyroscope not ready
GYRS,5207337,100000000
ACC,5210847,-42944,-360144,943792
MSG,5210888,Gyroscope not ready
GYRS,5210893,100000000
ACC,5214403,-47336,-369904,935496
MSG,5214445,Gyroscope not ready
GYRS,5214450,100000000
ACC,5218002,-45872,-372832,926224
MSG,5218044,Gyroscope not ready
GYRS,5218048,100000000
ACC,5221558,-41968,-370880,929152
MSG,5221600,Gyroscope not ready
GYRS,5221619,100000000
ACC,5225114,-53680,-373808,931592
MSG,5225156,Gyroscope not ready
GYRS,5225161,100000000
ACC,5228667,-47336,-376736,935984
MSG,5228709,Gyroscope not ready
GYRS,5228714,100000000
ACC,5232223,-44896,-380640,935496
MSG,5232265,Gyroscope not ready
GYRS,5232270,100000000
ACC,5235819,-49288,-375760,934520
MSG,5235861,Gyroscope not ready
GYRS,5235866,100000000
ACC,5239376,-44896,-371856,932080
MSG,5239418,Gyroscope not ready
GYRS,5239422,100000000
ACC,5242932,-42944,-373808,937448
MSG,5242988,Gyroscope not ready
GYRS,5242992,100000000
ACC,5246488,-39040,-366976,934032
MSG,5246530,Gyroscope not ready
GYRS,5246535,100000000
ACC,5250082,-37088,-367952,930128
MSG,5250124,Gyroscope not ready
GYRS,5250129,100000000
ACC,5253634,-36112,-368928,937448
MSG,5253675,Gyroscope not ready
GYRS,5253680,100000000
ACC,5257190,-40016,-370880,935496
MSG,5257231,Gyroscope not ready
GYRS,5257236,100000000
ACC,5260746,-38064,-377712,936472
MSG,5260787,Gyroscope not ready
GYRS,5260792,100000000
ACC,5264304,-49288,-380640,936472
MSG,5264346,Gyroscope not ready
GYRS,5264350,100000000
ACC,5267899,-45872,-384544,937448
MSG,5267941,Gyroscope not ready
GYRS,5267946,100000000
ACC,5271455,-38064,-382592,937936
MSG,5271497,Gyroscope not ready
GYRS,5271502,100000000
ACC,5275011,-38064,-377712,951600
MSG,5275053,Gyroscope not ready
GYRS,5275058,100000000
ACC,5278567,-32208,-372832,966240
MSG,5278609,Gyroscope not ready
GYRS,5278614,100000000
ACC,5282166,-52216,-375760,974536
MSG,5282222,Gyroscope not ready
GYRS,5282227,100000000
ACC,5285723,-37088,-380640,924272
MSG,5285765,Gyroscope not ready
GYRS,5285769,100000000
ACC,5289279,-38064,-364536,942816
MSG,5289321,Gyroscope not ready
GYRS,5289325,100000000
ACC,5292830,-29280,-366000,916952
MSG,5292871,Gyroscope not ready
GYRS,5292876,100000000
ACC,5296386,-47824,-367952,938912
MSG,5296428,Gyroscope not ready
GYRS,5296432,100000000
ACC,5299985,-42944,-379664,934520
MSG,5300027,Gyroscope not ready
GYRS,5300032,100000000
ACC,5303538,-47336,-376736,939400
MSG,5303580,Gyroscope not ready
GYRS,5303585,100000000
ACC,5307094,-48312,-371856,933056
MSG,5307136,Gyroscope not ready
GYRS,5307141,100000000
ACC,5310650,-48312,-373808,937448
MSG,5310692,Gyroscope not ready
GYRS,5310697,100000000
ACC,5314250,-39040,-374784,944768
MSG,5314291,Gyroscope not ready
GYRS,5314296,100000000
ACC,5317806,-37088,-373808,949648
MSG,5317848,Gyroscope not ready
GYRS,5317853,100000000
ACC,5321363,-40992,-364536,943792
MSG,5321405,Gyroscope not ready
GYRS,5321424,100000000
ACC,5324920,-44896,-369904,966240
MSG,5324962,Gyroscope not ready
GYRS,5324966,100000000
ACC,5328476,-34160,-378688,924272
MSG,5328518,Gyroscope not ready
GYRS,5328523,100000000
ACC,5332076,-43920,-375760,925248
MSG,5332117,Gyroscope not ready
GYRS,5332122,100000000
ACC,5335631,-43920,-374784,939888
MSG,5335673,Gyroscope not ready
GYRS,5335678,100000000
ACC,5339188,-51728,-373808,942816
MSG,5339229,Gyroscope not ready
GYRS,5339234,100000000
ACC,5342744,-46360,-378688,936472
MSG,5342799,Gyroscope not ready
GYRS,5342804,100000000
ACC,5346342,-41968,-369904,914024
MSG,5346384,Gyroscope not ready
GYRS,5346389,100000000
ACC,5349899,-40992,-378688,918416
MSG,5349940,Gyroscope not ready
GYRS,5349945,100000000
ACC,5353455,-42944,-360632,937448
